Title,Link,Additional Resource 1,Additional Resource 2,Additional Resource 3,Venue,Year,Abstract,Authors,
VampNet: Music generation via masked acoustic token modeling,https://arxiv.org/pdf/2307.04686,,,,ISMIR,2023,"We introduce VampNet, a masked acoustic token modeling approach to music synthesis, compression, inpainting, and variation. We use a variable masking schedule during training which allows us to sample coherent music from the model by applying a variety of masking approaches (called prompts) during inference. VampNet is non-autoregressive, leveraging a bidirectional transformer architecture that attends to all tokens in a forward pass. With just 36 sampling passes, VampNet can generate coherent high-fidelity musical waveforms. We show that by prompting VampNet in various ways, we can apply it to tasks like music compression, inpainting, outpainting, continuation, and looping with variation (vamping). Appropriately prompted, VampNet is capable of maintaining style, genre, instrumentation, and other high-level aspects of the music. This flexible prompting capability makes VampNet a powerful music co-creation tool. Code and audio samples are available online.","Hugo Flores Garcia, Prem Seetharaman, Rithesh Kumar, Bryan Pardo",
M and Jam Factory,https://www.jstor.org/stable/3680237,,,,Computer Music Journal,1987,"Both M and Jam Factory are programs that, through the use of graphic and gestural interfaces, provide an environment for composing and performing with MIDI that is quite analogous to the control panel of an airplane.",David Zicarelli,
The Synthetic Performer in The Context of Live Performance,https://quod.lib.umich.edu/i/icmc/bbp2372.1984.026/1/--synthetic-performer-in-the-context-of-live-performance?page=root;size=150;view=text,,,,ICMC,1984,"We describe a new area of computer-modeled intelligence, aimed at capturing two of today's most common human activities-music perception and rhythmic response. The two are most evident in an ensemble of performing musicians, where each member is both an expert listener and an expert executor of some response-often prescribed by a score, and generally inviting the addition of expressive content.",Barry Vercoe,
Mimi4x: an interactive audio-visual installation for high-level structural improvisation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5583232,https://www.youtube.com/watch?v=lFlFrHdJwwI,,,ICME,2010,"We present Mimi4x (Multimodal Interaction for Musical Improvisation), an interactive audio-visual installation that engages members of the general public in high-level structural decision-making in musical improvisation. Through a Musical Instrument Digital Interface controller, the user manages four instances of the Mimi 1.5 improvisation system. The visuals in each Mimi system animate the generation of new music, depicting the recombination of musical material and the flow of generated music in time. A composer prepares original music material for each Mimi to use in its improvisation. Through Mimi4x, the user is directly involved in the improvisation/composition process and takes on some of the role of the composer. The user chooses which Mimi instance performs and when, and can adjust the recombination rate for, and playback volume of, each Mimi instance during performance. This simple method of interaction is accessible to all users regardless of their musical background, yet gives the user significant and satisfying influence over the music generated.","Alexandre R.J. François, Isaac Schankler and Elaine Chew",
Approaches to Musical Expression in Harmonix Video Games (The Axe),https://www.worldscientific.com/doi/10.1142/9789813140103_0002?srsltid=AfmBOoqmcD0lfDoNKh40KciyDVgsfr8l_F0klnusJXtpqNt6mJ3aBta2,,,,Mathemusical Conversations: Mathematics and Computation in Music Performance and Composition,2016,"Harmonix Music Systems was founded in 1995 with the mission “to let everyone in the world experience the joy of making music.” Over the past 20 years, Harmonix has released over 20 game titles that, to various degrees of success, have let players feel musical and express themselves musically. This chapter explores five Harmonix games, each of which has taken a different approach to enable player musical expression: The Axe (a joystick-controlled improvisation system), Amplitude (an arcade-style multi-track rhythm game), Karaoke Revolution (a microphone-based singing game), Guitar Hero and Rock Band (multi-instrument rock band simulation game), and Fantasia: Music Evolved (Kinect-based musical exploration game based on the classic Disney movie). It addresses a central dilemma in designing music video games: can players enjoy being expressive while also driving towards the goal of “winning the game?”",Eran Egozy,
Reflections on Eight Years of Instrument Creation with Machine Learning,https://www.nime.org/proceedings/2020/nime2020_paper45.pdf,,,,NIME,1997,"Machine learning (ML) has been used to create mappings for digital musical instruments for over twenty-five years, and numerous ML toolkits have been developed for the NIME community. However, little published work has studied how ML has been used in sustained instrument building and performance practices. This paper examines the experiences of instrument builder and performer Laetitia Sonami, who has been using ML to build and refine her Spring Spyre instrument since 2012. Using Sonami’s current practice as a case study, this paper explores the utility, opportunities, and challenges involved in using ML in practice over many years. This paper also reports the perspective of Rebecca Fiebrink, the creator of the Wekinator ML tool used by Sonami, revealing how her work with Sonami has led to changes to the software and to her teaching. This paper thus contributes a deeper understanding of the value of ML for NIME practitioners, and it can inform design considerations for future ML toolkits as well as NIME pedagogy. Further, it provides new perspectives on familiar NIME conversations about mapping strategies, expressivity, and control, informed by a dedicated practice over many years.","Rebecca Fiebrink, Laetitia Sonami",
AI-terity 2.0: An Autonomous NIME Featuring GANSpaceSynth Deep Learning Model,https://nime.pubpub.org/pub/9zu49nu5/release/1,https://www.nime.org/proc/nime20_65/index.html ,,,NIME,2021,"In this paper we present the recent developments in the AI-terity instrument. AI-terity is a deformable, non-rigid musical instrument that comprises a particular artificial intelligence (AI) method for generating audio samples for real-time audio synthesis. As an improvement, we developed the control interface structure with additional sensor hardware. In addition, we implemented a new hybrid deep learning architecture, GANSpaceSynth, in which we applied the GANSpace method on the GANSynth model. Following the deep learning model improvement, we developed new autonomous features for the instrument that aim at keeping the musician in an active and uncertain state of exploration. Through these new features, the instrument enables more accurate control on GAN latent space. Further, we intend to investigate the current developments through a musical composition that idiomatically reflects the new autonomous features of the AI-terity instrument. We argue that the present technology of AI is suitable for enabling alternative autonomous features in audio domain for the creative practices of musicians.","Koray Tahiroğlu, Miranda Kastemaa, and Oskar Koli",
Composing the Assemblage: Probing Aesthetic and Technical Dimensions of Artistic Creation with Machine Learning (Case 1),https://watermark02.silverchair.com/comj_a_00658.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAzowggM2BgkqhkiG9w0BBwagggMnMIIDIwIBADCCAxwGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM7ywKGsiS99fY-K7yAgEQgIIC7ULMaiRpyOyojBfhd_txkYfJ1aBEo3Kw9WWk-YOASJ_PApCtM33ew6LulWGVjf_nj-3WZ4iNbh3AI-fa6IajUUKxH2hCn4bCSo1jhrtuEmthby8K7rm8eX1RoiSZCoCRyxchu-WLIarB8zycoEF_VETiP5Qo55dfWwhQ9YNvNx9rTQflFvljhss4ooWhC9_4Gzgeaex3z3Weos2Vv4OWKtZh2esoAcZallj0C4nYqy0gaEOMIuLMIhYf1SMnrDpfbt-DZNm7Y1D8T8bJIPqf_HR6zlcBTIInJfJ6dof-n7nHFCk80gMeBUgSKrBBXCKDhYN3cqgvgSdAedsKVQTMTW0vUwhHPHKBlihL-hURc3vOOtnH1-6Jlmeh9MZsR3vq7db2UQoAEumdW8FvR1qVJRymbdwNLoq21OA8SLkNN8cCr5X-744_PqUsCsRZwO5XeyUBfQO0yM3blEbcSDYrrIogf1OcfUKGue-9bs9ozsYmuuslSmYv6sS9H4GXdMMqtP9ICQ4us6zudP9UAmPJcG5jccg9mfh5VLKvwcxYp8e5mWI8xwwNb_gcW90xMUGPaizjDfJBg6m2MX2a7tJ32PDYwXoJsOUHUFmXeCX9xA2kQ5dRHW1RTjuhhPhZbn5mJr4KXW3gPhaXcpekUNdMhT84rVrAU7N3gp9_dgEg9qacmtq-BC8bPBZwV21R-UtLennP_q7uE59g_-m9vIRqgWRZ_KOloESnhzflHTNS8oxSGPxG4DGxqUL6KCkJex4GsQ1cWogeJ-n1I-M1qR1Gp0rmyl55fch9pqxCLzSDGrGhC25tg5RbcoNMd_CDCaYdVJYHQmE4hRhIaB0-g5j87G0RMz8xKa82s9F0KBWwiTODl7wnQE8PI59_60Kg9krbD3u_UUReC70e4Fp4NywWTBz0bV84ZsjwObzN76jZsUuajaHbbhftYU351a7mSESjsSqyL8kWclFEYGfb6uD204c9G428J9GThgXW3gD3,,,,Computer Music Journal,2022,"In this article, we address the role of machine learning (ML) in the composition of two new musical works for acoustic instruments and electronics through autoethnographic reflection on the experience. Our study poses the key question of how ML shapes, and is in turn shaped by, the aesthetic commitments characterizing distinctive compositional practices. Further, we ask how artistic research in these practices can be informed by critical themes from humanities scholarship on material engagement and critical data studies. Through these frameworks, we consider in what ways the interaction with ML algorithms as part of the compositional process differs from that with other music technology tools. Rather than focus on narrowly conceived ML algorithms, we take into account the heterogeneous assemblage brought into play: from composers, performers, and listeners to loudspeakers, microphones, and audio descriptors. Our analysis focuses on a deconstructive critique of data as being contingent on the decisions and material conditions involved in the data-creation process. It also explores how interaction among the human and nonhuman collaborators in the ML assemblage has significant similarities to—as well as differences from—existing models of material engagement. Tracking the creative process of composing these works, we uncover the aesthetic implications of the many nonlinear collaborative decisions involved in composing the assemblage.","Artemi-Maria Gioti, Aaron Einbond, Georgina Born",
"The Jam_bot, a real-time system for collaborative free improvisation with music language models",https://ismir2025program.ismir.net/poster_321.html,,,,ISMIR,2025,"In order to design a Generative AI system that could improvise on stage with GRAMMY-winning keyboard virtuoso Jordan Rudess, we developed the “JAM_BOT”, a real- time performance system that could match his eclectic improvisational aesthetics. We debuted the JAM_BOT at a high-stakes sold-out concert to critical acclaim, realizing a series of virtuosic tightly-coupled Human-AI free im- provisations in varying musical styles. Reflecting on our year-long collaboration, we summarize learnings for AI researchers and musicians on the adaptations needed to turn state-of-the-art symbolic music Language Models (LMs) into JAM_BOTS and the engineering required to make them performance-ready. We focus on three aspects: (1) enabling JAM_BOTS to take on different musical roles by adapting music LMs to employ different interaction strategies by modifying the context and conditioning signals; (2) describing how Rudess intentionally structures his improvisation in order to finetune JAM_BOTS to match the style needed for each piece; and (3) showing the optimizations needed to run music LMs in real-time and embed them in a low-latency multi-threaded system that listens, prompts, and schedules model generations seamlessly. We hope these insights enable more musician-AI symbiotic virtuosity.","Lancelot Blanchard, Perry Naseck1, Stephen Brade, Kimaya Lecamwasam, Jordan Rudess, Cheng-Zhi Anna Huang, Joseph Paradiso",
Improvised Performance Following in Real Time for Automatic Accompaniment,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10888267,,,,ICASSP,2025,"Real-time performance tracking is the core component of automatic accompaniment systems. Previous methods typically require full information on the performance score (the human part) and also assume very limited improvisations off the score, otherwise, the tracker will get lost. In this paper, we aim to track a fully improvised performance for automatic accompaniment, in which the only reference is the accompaniment score (the machine part). The key idea is to incorporate semantic-level alignment to model the correspondence between the user performance and the accompaniment. Our system contains two real-time components: The first component is an accompaniment-conditioned quantization model using a Long Short-Term Memory (LSTM) layer. For each performance note onset, we first compute its rough projected score position using previously estimated performance-to-score mapping and then refine the mapping using the quantization results. The second component is a playback control system, which updates the performance-to-score mapping via the performance-quantized time pair (similar to the performance-score alignment pair in traditional automatic accompaniment systems). Experiments show the system achieves better tracking results on expressive piano performance than baselines, allowing score-free tracking on both texture and tempo variations.","Junyan Jiang, Akira Maezawa, Gus Xia",
Real-time Timbre Remapping with Differentiable DSP,https://arxiv.org/pdf/2407.04547,,,,NIME,2024,"Timbre is a primary mode of expression in diverse musical contexts. However, prevalent audio-driven synthesis methods predominantly rely on pitch and loudness envelopes, effectively flattening timbral expression from the input. Our approach draws on the concept of timbre analogies and investigates how timbral expression from an input signal can be mapped onto controls for a synthesizer. Leveraging differentiable digital signal processing, our method facilitates direct optimization of synthesizer parameters through a novel feature difference loss. This loss function, designed to learn relative timbral differences between musical events, prioritizes the subtleties of graded timbre modulations within phrases, allowing for meaningful translations in a timbre space. Using snare drum performances as a case study, where timbral expression is central, we demonstrate real-time timbre remapping from acoustic snare drums to a differentiable synthesizer modeled after the Roland TR-808.","Jordie Shier, Charalampos Saitis, Andrew Robertson, Andrew McPherson",
The reactive accompanist: Adaptation and behavior decomposition in a music system,https://static1.squarespace.com/static/5e13e4b93175437bccfc4545/t/66c21e0aa52ad50cc4cce285/1723997712006/the-reactive-accompanist-adaptation-and-behavior-decomposition-in-a-music-system+.pdf,,,,The Biology and Technology of Intelligent Autonomous Agents,1995,"This paper describes a reactive, behavior-based system that mimics a human musical skill — chord accompaniment of unfamiliar melodies. The system was constructed under the subsumption architecture methodology. This paper discusses the design task of behavior decomposition for such a system, and recommends a strategy of modularizing the minimal adaptive requirements for the desired competence.",Joanna Bryson,
BoB: an interactive improvisational music companion,https://www.cs.cmu.edu/~mmv/papers/thom-agents2k.pdf,https://quod.lib.umich.edu/i/icmc/bbp2372.2001.106/--machine-learning-techniques-for-real-time-improvisational?view=image,,,AGENTS,2000,"This paper introduces a new domain for believable agents (BA) and presents novel methods for dealing with the unique challenges that arise therein. The domain is providing improvisational companionship to a specific musician/user, trading real-time solos with them in the jazz/blues setting. The ways in which this domain both conflicts with and benefits from traditional BA and interactive computer music system approaches are discussed. Band-out-of-the-Box (BOB), an agent built for this domain, is also presented, most novel in that unsupervised machine learning techniques are used to automatically configure BoB's aesthetic musical sense to that of its specific user/musician.",Belinda Thom,
A Bayesian Network for Real-Time Musical Accompaniment,https://proceedings.neurips.cc/paper_files/paper/2001/file/2b0f658cbffd284984fb11d90254081f-Paper.pdf,,,,NIPS,2001,"We describe a computer system that provides a real-time musi(cid:173) cal accompaniment for a live soloist in a piece of non-improvised music for soloist and accompaniment. A Bayesian network is devel(cid:173) oped that represents the joint distribution on the times at which the solo and accompaniment notes are played, relating the two parts through a layer of hidden variables. The network is first con(cid:173) structed using the rhythmic information contained in the musical score. The network is then trained to capture the musical interpre(cid:173) tations of the soloist and accompanist in an off-line rehearsal phase. During live accompaniment the learned distribution of the network is combined with a real-time analysis of the soloist's acoustic sig(cid:173) nal, performed with a hidden Markov model, to generate a musi(cid:173) cally principled accompaniment that respects all available sources of knowledge. A live demonstration will be provided.",Christopher Raphael,
The continuator: Musical interaction with style.,https://web.media.mit.edu/~rebklein/downloads/papers/jnmr%25252E32%25252E3%25252E333%25252E16861.pdf,,,,Journal of New Music Research,2003,"We propose a system, the Continuator, that bridges the gap between two classes of traditionally incompatible musical systems: (1) interactive musical systems, limited in their ability to generate stylistically consistent material, and (2) music imitation systems, which are fundamentally not interactive. Our purpose is to allow musicians to extend their technical ability with stylistically consistent, automatically learnt material. This goal requires the ability for the system to build operational representations of musical styles in a real time context. Our approach is based on a Markov model of musical styles augmented to account for musical issues such as management of rhythm, beat, harmony, and imprecision. The resulting system is able to learn and generate music in any style, either in standalone mode, as continuations of musician’s input, or as interactive improvisation back up. Lastly, the very design of the system makes possible new modes of musical collaborative playing. We describe the architecture, implementation issues and experimentations conducted with the system in several real world contexts.",François Pachet,
ImproteK: Introducing Scenarios into Human-Computer Music Improvisation,https://dl.acm.org/doi/pdf/10.1145/3022635,https://www.youtube.com/watch?v=MsCFoqnvAew,,,CIE,2017,"This article focuses on the introduction of control, authoring, and composition in human-computer music improvisation through the description of a guided music generation model and a reactive architecture, both implemented in the software ImproteK. This interactive music system is used with expert improvisers in work sessions and performances of idiomatic and pulsed music and more broadly in situations of structured or composed improvisation. The article deals with the integration of temporal specifications in the music generation process by means of a fixed or dynamic “scenario” and addresses the issue of the dialectic between reactivity and planning in interactive music improvisation. It covers the different levels involved in machine improvisation: the integration of anticipation relative to a predefined structure in a guided generation process at a symbolic level, an architecture combining this anticipation with reactivity using mixed static/dynamic scheduling techniques, and an audio rendering module performing live re-injection of captured material in synchrony with a non-metronomic beat. Finally, it sketches a framework to compose improvisation sessions at the scenario level, extending the initial musical scope of the system. All of these points are illustrated by videos of performances or work sessions with musicians.","Jérôme Nika, Marc Chemillier, Gérard Assayag",
In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound,https://arxiv.org/pdf/1902.06442,,,,CHI,2019,"Collaboration is built on trust, and establishing trust with a creative Artificial Intelligence is difficult when the decision process or internal state driving its behaviour isn't exposed. When human musicians improvise together, a number of extra-musical cues are used to augment musical communication and expose mental or emotional states which affect musical decisions and the effectiveness of the collaboration. We developed a collaborative improvising AI drummer that communicates its confidence through an emoticon-based visualisation. The AI was trained on musical performance data, as well as real-time skin conductance, of musicians improvising with professional drummers, exposing both musical and extra-musical cues to inform its generative process. Uni- and bi-directional extra-musical communication with real and false values were tested by experienced improvising musicians. Each condition was evaluated using the FSS-2 questionnaire, as a proxy for musical engagement. The results show a positive correlation between extra-musical communication of machine internal state and human musical engagement.","Jon McCormack, Toby Gifford, Patrick Hutchings, Maria Teresa Llano Rodriguez, Matthew Yee-King, Mark d'Inverno",
RL-Duet: Online Music Accompaniment Generation Using Deep Reinforcement Learning,https://arxiv.org/pdf/2002.03082,,,,AAAI,2020,"This paper presents a deep reinforcement learning algorithm for online accompaniment generation, with potential for real-time interactive human-machine duet improvisation. Different from offline music generation and harmonization, online music accompaniment requires the algorithm to respond to human input and generate the machine counterpart in a sequential order. We cast this as a reinforcement learning problem, where the generation agent learns a policy to generate a musical note (action) based on previously generated context (state). The key of this algorithm is the well-functioning reward model. Instead of defining it using music composition rules, we learn this model from monophonic and polyphonic training data. This model considers the compatibility of the machine-generated note with both the machine-generated context and the human-generated context. Experiments show that this algorithm is able to respond to the human part and generate a melodic, harmonic and diverse machine part. Subjective evaluations on preferences show that the proposed algorithm generates music pieces of higher quality than the baseline method.","Nan Jiang, Sheng Jin, Zhiyao Duan, Changshui Zhang",
SongDriver: Real-time Music Accompaniment Generation without Logical Latency nor Exposure Bias,https://arxiv.org/pdf/2209.06054,,,,MM,2022,"Real-time music accompaniment generation has a wide range of applications in the music industry, such as music education and live performances. However, automatic real-time music accompaniment generation is still understudied and often faces a trade-off between logical latency and exposure bias. In this paper, we propose SongDriver, a real-time music accompaniment generation system without logical latency nor exposure bias. Specifically, SongDriver divides one accompaniment generation task into two phases: 1) The arrangement phase, where a Transformer model first arranges chords for input melodies in real-time, and caches the chords for the next phase instead of playing them out. 2) The prediction phase, where a CRF model generates playable multi-track accompaniments for the coming melodies based on previously cached chords. With this two-phase strategy, SongDriver directly generates the accompaniment for the upcoming melody, achieving zero logical latency. Furthermore, when predicting chords for a timestep, SongDriver refers to the cached chords from the first phase rather than its previous predictions, which avoids the exposure bias problem. Since the input length is often constrained under real-time conditions, another potential problem is the loss of long-term sequential information. To make up for this disadvantage, we extract four musical features from a long-term music piece before the current time step as global information. In the experiment, we train SongDriver on some open-source datasets and an original àiMusic Dataset built from Chinese-style modern pop music sheets. The results show that SongDriver outperforms existing SOTA (state-of-the-art) models on both objective and subjective metrics, meanwhile significantly reducing the physical latency.","Zihao Wang, Kejun Zhang, Yuxing Wang, Chen Zhang, Qihao Liang, Pengfei Yu, Yongsheng Feng, Wenbo Liu, Yikai Wang, Yuntao Bao, Yiheng Yang",
